,precision,recall,f1-score,support
Predicted would not leave,0.8559743954480796,0.9628,0.90625,2500.0
Predicted would leave,0.5,0.18674698795180722,0.2719298245614035,498.0
accuracy,0.8338892595063375,0.8338892595063375,0.8338892595063375,0.8338892595063375
macro avg,0.6779871977240398,0.5747734939759036,0.5890899122807017,2998.0
weighted avg,0.7968432250234153,0.8338892595063375,0.8008826059478249,2998.0
